id	name en	question en	name cs	question cs	description cs	návrh doprovodného textu	poznámky/možnosti/postřehy	další poznámky	name sk	question sk	description sk
	Data Protection	There should be a stronger common EU law on data protection.	Ochrana dat	Měly by být zpřísněny společné právní předpisy EU na ochranu dat.	Osobní data jsou např. data o zdravotním stavu, genetické vzorky nebo finanční údaje, informace o obchodních transakcích nebo o provedených telefonních hovorech a navštívených webových stránkách. Tyto údaje firmy používají pro svůj business nebo je shromažďuje policie či tajné služby.	V EU dochází denně k přeshraničním přesunům obrovského množství osobních ůdajů, a to mezi podniky, veřejnými orgány nebo jednotlivci. Zpřísněním společných právních předpisů by došlo k regulaci podmínek pro zpracování a nakládání s osobními údaji.	Každý den dochází na území EU k přeshraničním přesunům obrovského množství osobních ůdajů, a to mezi podniky, veřejnými orgány nebo jednotlivci. Zpřísněním společných právních předpisů by došlo k regulaci podmínek pro zpracování a nakládání s osobními údaji.		Ochrana dát	Mali by byť sprísnené spoločné právne predpisy EÚ na ochranu dát	
	Minimum Wage	The EU should promote the introduction of a minimum wage linked to the average salary in each member state.	Minimální mzda	V EU by se měla zavést minimální mzda navázaná na průměrný plat v jednotlivých státech EU.	Minimální mzda je v EU v průměru zhruba 40 % průměrné mzdy v dané zemi (nejméně 32 % v ČR, nejvíce 50 % ve Slovinsku a Řecku). V některých zemích (např. Švédsko) je minimální mzda stavonena spíše sektorově a ne celostátně. 	Tzv. Fiskální pakt podepsaly všechny země EU mimo ČR a Velkou Británii. Pakt mj. určuje omezení na schodek státních rozpočtů zemí EU (0.5 - 1 % z HDP). Nedodržení může vést k finančním sankcím. Oponenti ukazují na podřízení státního rozpočtu Evropské komisi. Obhájci říkají, že zamezí  vládám nadměrně zadlužovat zemi.	Minimální mzda by měla zabránit zaměstnavatelskému honu na co nejnižší pracovní náklady a zaměstnancům zajistit odpovídající pracovní ohodnocení. Napříč EU však neexistuje konsenzus o její výši zejména kvůli odlišným podmínkám v jednotlivých zemích. Odpůrci minimální mzdy argumentují, že ustanovení příliš vysoké minimální mzdy by paradoxně mohlo vést ke zvýšení nezaměstanosti.		Minimálna mzda	EÚ by mala podporovať zavedenie minimálnej mzdy, ktorá by odrážala minimálny plat v jendotlivých štátoch EÚ	
	Legislative Initiative	The European Parliament should have the power to introduce laws without asking the European Commission.	Legislativní iniciativa	Evropský parlament by měl mít pravomoc iniciovat zákon bez nutnosti oslovení Evropské komise.	Evropský parlament narozdíl od národního parlamentu nemůže předkládat sám nové zákony, pouze je schvaluje. Dle zastánců posilování pravomocí Evropský parlament přispívá k posílování evropské demokracie a měl by mít větší pravomoci. Kritici se ale obávají, že národní parlamenty ztratí část svých pravomocí.	Evropský parlament narozdíl od národního parlamentu nepředkládá legislativu, má “pouze” funkci zákonodárnou, rozpočtovou a kontrolní. Dle zastánců posilování pravomocí EP přispívá k posílování evropské demokracie. Kritici se ale obávají, že národní parlamenty ztratí část svých pravomocí.	Evropský parlament se od národního parlamentu líší v tom, že nepředkládá legislativu, ale “pouze” funkci zákonodárnou, rozpočtovou a kontrolní. Dle zastánců posilování pravomocí EP přispívá k posílování evropské demokracie. Kritici se ale obávají, že příliš silný EP může vést k tzv. deparlamentarizaci národních parlamentů.		Legislatívna iniciatíva	Európsky parlament by mal mať právomoc iniciovať zákon bez nutnosti oslovenia Európskej komisie	
	CO2 Emissions	The EU should set stricter targets for CO2 reduction.	Emise CO2	EU by měla vymezit striktnější cíle pro regulaci CO2.	V EU jsou zavedeny emisní povolenky pro energetické firmy, pomocí nichž se limitují emise skleníkového plynu CO2 (oxidu uhličitého), což má zmírnit klimatické problémy. Někteří je kritizují jako nedostatečné, kritici naopak upozorňují, že takové regulace vedou ke zvýšení cen energií.	V EU jsou zavedeny emisní povolenky pro energetické firmy, jejichž cílem je zmírnit klimatické problémy působené nadměrným vypouštěním emisí skleníkového plynu CO2 (oxidu uhličitého). Někteří lidé je kritizují jako nedostatečné, podle jiných přílišné regulace vedou ke zvýšení cen energií.	V dnešní době se stále více mluví o klimatických probléméch způsobených nadměrným vypouštěním emisí C02. EU tento problém nyní řeší tzv. emismíni povolenkami pro energetické firmy, které jsou často kritizovány jako nedostatečné. Na druhou stranu ale kritici těchto opatření tvrdí, že přílišné regulace povedou ke zvýšení cen energií.	Nahradit v textu otázky (ne ve vysvětlení) CO2 za "skleníkové plyny"? Tomu asi lidi spíš rozumí	Emisie CO2	Eú by mala vymedziť striktné ciele k regulácií CO2	
	Nuclear Power	EU member states should not be allowed to subsidise nuclear power.	Zákaz dotací jaderné energetika 	Státy EU by měly mít zakázáno dotovat jadernou energetiku.	Zastánci jaderné energetiky poukazují na vysokou efektivitu při spalování paliva a na velice nízké emise CO2 oproti jiné, např. uhelné či plynové energii. Kritici upozorňují, že jaderná energie není finančně konkurenceschopná a představuje bezpečnostní riziko.	Zastánci jaderné energetiky poukazují na vysokou efektivitu při spalování paliva a na velice nízké emise CO2 oproti jiné, např. uhelné či plynové energii. Kritici tvrdí, že jaderná energie představuje bezpečnostní riziko zejména kvůli uložištím radioaktivního odpadu nebo např. hrozbě terorismu.	Jaderná energetika má v EU své zastánce a také kritiky. Mezi hlavní výhody, podle zastánců, patří vysoká efektivita při spalování paliva s velice nízkými emisemi CO2 oproti jiné např. uhelné či plynové energii. Na druhou stranu její kritici tvrdí, že jaderná energie představuje vážné bezpečnostní riziko zejména kvůli uložištím radioaktivního odpadu nebo např. hrozbě terorismu.		Jadrová energetika	Štáty EÚ by mali mať zakázané dotovať jadrovú energetiku	
	Genetically-modified Crops	Growing genetically-modified crops should be allowed throughout the European Union.	Geneticky upravené plodiny	Mělo by být povoleno pěstovat geneticky upravené plodiny v celé EU.	Zastánci pěstování geneticky upravených plodin argumentují, že tyto plodiny zvyšují výnos a jsou odolnější vůči škůdcům, není nutné je tolik chemicky ošetřovat. Odpurci se obávají zdravotních rizik, dopadu na životní prostředí a závislosti na producentech takových plodin.	Zastánci pěstování geneticky upravených plodin argumentují, že tyto plodiny zvyšují výnos a jsou odolnější vůči škůdcům, což znamená, že je není nutné chemicky ošetřovat. Odpurci se obávají zdravotních rizik a dopadu na životní prostředí, která mohou být s těmito plodinami spojena.	Členské státy EU nakloněné pěstování geneticky upravených plodin, jako např. Španělsko, argumentují, že tyto plodiny zvyšují výnos a jsou odolnější vůči škůdcům, což znamená, že je není nutné chemicky ošetřovat. Odpurci se nicméně obávají zdravotních a environmentálních rizik, která mohou být s těmito plodinami spojena.	Jaké dopady na životní prostředí? Tady by asi bylo nutné dát příklad.	Genetický upravené plodiny	Malo by byť povolené pestovať geneticky upravené plodiny v celej EÚ	
	Import Taxes	Import taxes on agricultural products from developing countries should be lowered.	Dovozní cla	Dovozní cla na zemědělské produkty z rozvojových zemí by měla být snížena.	Zastánci dovozních cel argumentují ochranou a podporou ekonomik členských států vůči ostatním, aby nedošlo k zaplavení evropského trhu levnými zemědělskými produkty z rozvojových zemí. Kritici upozorňují, že cla limitují rozvoj zemí, jejichž důležitým obchodním artiklem jsou právě zemědělské produkty, a také, že zdražují potraviny pro zákazníky v EU.	Zastánci dovozních cel argumentují ochranou a podporou ekonomik členských států vůči těm nečlenským tak, aby nedošlo k zaplavení evropského trhu levnými zemědělskými produkty z rozvojových zemí. Kritici považují tato opatření za diskriminační, jelikož znevýhodňují zemědělce z rozvojových zemí, jejichž jediným možným vývozem jsou právě zemědělské produkty.	Smyslem dovozních cel na zemědělské výrobky je ochrana a podpora ekonomik členských států vůči těm nečlenským tak, aby nedošlo k zaplavení evropského trhu levnými zemědělskými produkty z rozvojových zemí. Kritici považují tato opatření za diskriminační, jelikož znevýhodňují zemědělce z rozvojových zemí, jejichž jediným možným vývozem jsou právě zemědělské produkty.		Dovozné cla	Dovozné clá na poľnohospodárske produkty z rozvojových krajín by mali byť znížené	
	Direct Election of the Commission President	European citizens should directly elect the President of the European Commission.	Přímá volba předsedy Evropské komise	Předseda Evropské komise by měl být volen v přímých volbách občany EU	Přímá volba předsedy komise by podle zastánců měla zvýšit úroveň demokracie v EU a zvýšit zájem občanů o EU. Její kritici argumentují, že přímá volba nepřináší žádné řešení současných problémů, ani nezvyšuje důvěryhodnost EU.	Přímá volba předsedy komise by podle jejích zastánců měla zvýšit zájem občanů o dění v EU a jejich motivaci jít k volbám. Její kritici argumentují, že přímá volba nepřináší žádné řešení současných problémů, ani nezvyšuje důvěryhodnost EU.	Přímá volba předsedy komise by podle jejích zastánců měla zvýšit zájem občanů o dění v EU a jejich motivaci jít k volbám. Její kritici však argumentují, že přímá volba nepřináší žádné řešení současných problémů, ani nezvyšuje důvěryhodnost EU.		Priama voľba predsedu Európskej komisie	Predseda Európskej komisie by mal byť zvolený v priamých voľbách občanmi EÚ	
	Minimum Rate for Corporate Taxes	A minimum corporation tax rate should be introduced throughout the EU.	Minimální sazba korporátní daně	Měla by být zavedena minimální sazba pro daně z příjmů u firem v celé EU.	Daně z příjmů je v EU mezi 10 % a 35 %. Zastánci minimální sazby kritizují existenci daňových rájů uvnitř EU (např. Kypr), kde mohou firmy platit daně namísto v zemi, kde zisk reálně vytvořili. Odpůrci upozorňují na zdravou soupeřivost mezi jednotlivými zeměmi. 	Podle zastámců minimální společné korporátní daně by její zavedení znamenalo ušetření výdajů na administrativu pro firmy působící ve více zemích EU a zamezení migrace firem do zemí s nižší daňovou zátěží. Nevýhodou by podle kritiků bylo znevýhodnění firem právě v těchto zemích a potlačení konkurenčního prostředí.	Korporátní daň neboli daň z příjmů právnických osob. Mezi zastánce minimální společné korporátní daně patří zejména společnosti působící ve více zemích EU, pro které by její zavedení znamenalo ušetření množství výdajů na administrativu. V zemích EU se tato daň pohybuje v rozmezí 10-35 %, a proto by další výhodou bylo zamezení migrace firem do zemí s nižší daňovou zátěží. Nevýhodou by pak podle kritiků bylo znevýhodnění firem právě v těchto zemích, potlačení konkurenčního prostředí a mohlo by dojít také k negativním dopadům na trh práce. 	http://www.podnikatel.cz/clanky/strasak-korporatni-dane-je-stale-na-blizku-jaky-by-mel-dopad-na-ceske-firmy/	Minimálna sadzba pre korporátne dane	Mala by byť zavedená minimálna sadzba pre korporátne dane naprieč EÚ	
	Internal Financial Assistance	There should be less financial assistance to poorer regions within the EU.	Nižší finanční pomoc regionům	Měla by se snížit finanční pomoc ekonomicky slabším regionům EU.	Zhruba 1/3 rozpočtu EU jde na regionální politiku. Hlavním cílem je podpora ekonomicky slabších regionů v EU, mezi něž se řadí celá ČR mimo Prahu.	Zhruba 1/3 rozpočtu EU jde na regionální politiku. Hlavním cílem je podpora ekonomicky slabších regionů v EU, mezi něž se řadí celá ČR mimo Prahu. Podle zastánců podpory chudších regionů díky ní dochází ke snižování rozdílů v životní úrovni, podle odpůrců znevýhodňuje firmy v bohatých regionech.	EU je největším světovým poskytovatelem rozvojové pomoci, z Evropy plyne 55 % světových prostředků určených na rozvojovou pomoc. Rozvojová pomoc od EU je realizována prostřednictvím řady podpůrných programů financovaných z rozpočtu EU. Kromě toho bylo vyčleněno pro období 2007 až 2013 z rozpočtu 22,68 mld. euro na pomoc zemím Afriky, Karibiku a Tichomoří.	http://en.wikipedia.org/wiki/Regional_policy_of_the_European_Union#Convergence	Finančná pomoc	Mala by sa znížiť finančná pomoc chudobným regiónom EÚ	mimo Bratislavu
	EU Enlargement	The European Union should not accept any new member states.	Zastavení rozšiřování EU	EU by měla zastavit přijímání dalších zemí.	V současné době jsou oficiálními kandidáty na členství Černá Hora, Island, Makedonie, Srbsko a Turecko. 	V souvislosti s rozšířením se hovoří o Islandu, Albánii, Bosně a Hercegovině, Makedonii, Černé Hořa, Kosovu, Srbsku a Turecku. Podle zastánců by rozšíření zvedlo životní úroveň v daných zemích a zvětšilo společný trh EU, kritici poukazují na problémy migrace či bezpečnosti vnějších hranic.	Nyní se v souvislosti s rozšířením EU hovoří o státech: Albánie, Bosna a Hercegovina, Bývalá jugoslávská republika Makedonie, Černá Hora, Island, Kosovo, Srbsko a Turecko. Představitelé EU se obecně staví k dalšímu rozšiřování pozitivně, avšak kritici poukazují na problémy spojené s dalším rozšiřováním EU, jimiž mohou být migrace, bezpečnost vnějších hranic EU nebo ekonomická zátěž EU. 		Rozširovanie EÚ	EÚ by nemala príjmať nové členské štáty	
	Financial Transaction Tax	The EU should introduce a tax on financial transactions.	Daň z finančních transakcí	EU by měla zavést daň z finančních transakcí ("tzv. Tobinovu daň")	Podle zastánců by daň z finančních transakcí (tzv. "Tobinova daň", zhruba 0.01%-0.1%) měla zabraňovat finančním spekulacím. Kritici argumentují, že takové opatření by muselo být zavedeno celosvětově, jinak by vedlo k velkému přesunu firem za hranice EU. 	Podle zastánců by daň z finančních transakcí neboli tzv. Tobinova daň měla regulovat pohyb transakcí prováděných finančními institucemi a zabraňovat spekulacím. Kritici argumentují, že takové opatření by muselo být zavedeno celosvětově, jinak by vedlo k velkému přesunu firem za hranice EU. 	Daň z finančních transakcí neboli tzv. Tobinova daň by měla regulovat pohyb velkého množství spekulativních transakcí prováděných finančními institucemi. Kritici však argumentují, že takové opatření by muselo být zavedeno celosvětově, jinak by vedlo k velkému přesunu firem za hranice EU. 		Daň z finančných transakcií	EÚ by mala zaviesť daň z finančných transakcií ("tzv. Tobinová daň")	
	European Army	EU member states should create a European army.	Evropská armáda	EU by měla mít vlastní armádu.	V současné době EU nemá, krom výjimek jako bitevní skupiny, vlastní armádu. Podle zastánců by existence společné armády zvýšilo postavení EU na mezinárodní scéně a přispělo k řešení konfliktů. Podle kritiků by obrana měla zůstat pouze v rukou členských států.	Podle zastánů by úspěšné fungování společné armády mohlo zvýšit postavení EU na mezinárodní scéně a přispět k efektivnímu řešení konfliktů. Podle kritiků by obrana měla zůstat v rukou členských států.	Společná evropská armáda je projekt Společné zahraniční a bezpečnostní politiky Unie, jenž stojí na ochotě, schopnosti a kapacitě členských států. Úspěšné fungování armády by mohlo zvýšit postavení EU na mezinárodní scéně a přispět k efektivnímu řešení konfliktů. Problémem je však schopnost států dohodnout se na jednotném postupu a prioritách spolu s neochotou zemí vyčlenit investice a prostředky na fungování tohoto projektu.	http://www.evropa2045.cz/hra/napoveda.php?kategorie=2&tema=59	Európska armáda	EÚ by mala mať vlastnú armádu	
	Dismissal of Commissioners	The European Parliament should be able to sack individual commissioners.	Odvolatelnost komisařů	Evropský parlament by měl mít možnost odvolat jednotlivé evropské komisaře	Komisaři jsou do své funkce navrhováni členskými státy. Komise ("evropská vláda") jako celek je schválena Evropským parlamentem. Jediný způsob, jakým může být celá komise odvolána, je vyhlášení nedůvěry Evropským parlamentem, s dvěma třetinami hlasů jeho poslanců. Odvolat jednotlivého komisaře parlament nemůže.	Komisaři jsou do své funkce navrhováni členskými státy a společně jmenováni Radou EU a předsedou Evropské komise. Předseda je navržen Evropskou radou a musí být schválen Evropským parlamentem. Komise jako celek je schválena Evropským parlamentem a podléhá přímo jemu. Jediný způsob, jakým může být celá komise odvolána, je vyhlášení nedůvěry Evropským parlamentem, s dvěma třetinami hlasů jeho poslanců.	Komisaři pocházejí z členských států a jsou těmito státy do své funkce navrhováni. Jsou zcela nezávislí, nesmějí přijímat instrukce od státu, ze kterého pocházejí. Komisaři jsou společně jmenováni Radou EU a předsedou Evropské komise. Předseda je navržen Evropskou radou a musí být schválen Evropským parlamentem, předseda také uděluje jednotlivým komisařům jejich resorty. Komise jako celek je schválena Evropským parlamentem a podléhá přímo jemu. Jediný způsob, jakým může být celá komise odvolána, je vyhlášení nedůvěry Evropským parlamentem, s dvěma třetinami hlasů jeho poslanců.	nevím, jestli "sack" je to správný překlad	Odvolateľnosť komisárov	Európsky parlament by mal mať možnosť odvolať jednotlivých európskych komisárov	
	EU Foreign Policy	More foreign policy areas should be agreed at an EU level.	Zahraniční politika EU	Více oblastí zahraniční politiky by mělo být rozhodováno na úrovni EU.	EU si dala možnost provádět společnou zahraniční a bezpečnostní politiku, ale tato možnost se využívá jen omezeně. Pro členské státy jsou cíle sice závazné, ale evropské právo nemá žádné sankce za porušení.	EU si dala možnost provádět společnou zahraniční a bezpečnostní politiku, ale tato možnost se využívá jen omezeně. Pro členské státy jsou cíle sice závazné, ale evropské právo nemá žádné sankce za porušení.	Zahraniční politika Evropské unie byla založena Maastrichtskou smlouvou v roce 1993, společně s bezpečnostní politikou EU. EU si dala možnost provádět společnou zahraniční a bezpečnostní politiku, reálně ale brzy došlo k tomu, že členské státy této možnosti využívají jen omezeně. V zahraniční politice se může jednat o cíle evropské politiky vůči zemím nebo regionům, ale i o vojenská témata, jako je nešíření zbraní hromadného ničení. Pro členské státy jsou sice závazné, ale evropské právo nemá žádné sankce za porušení, a tak tlak na jejich dodržování je pouze politický.		Zahraničná politika EÚ	Viac oblastí zahraničnej politiky by malo byť na úrovni EÚ	
