id	name	question	description
1	Domovi naroda	Da li domovi naroda trebaju odlučivati isključivo o vitalnom nacionalnom interesu?	Ovo pitanje aktuelizirano je nakon što je grupa stranaka sa sjedištem u Sarajevu polovinom 2018. godine iznijela prijedlog da se reduciraju nadležnosti Doma naroda FBiH, a po uzoru na Vijeće naroda u RS, gdje bi Dom u tom slučaju odlučivao isključivo o pitanjima koja se odnose na vitalni nacionalni interes.
2	Registar korisnika boračko-invalidske zaštite	Da li Registar korisnika boračko-invalidske zaštite treba biti javno objavljen?	Pitanje je aktuelizirano početkom 2018. godine, nakon protesta demobilisanih boraca. Jedan od njihovih zahtjeva je i objava Registra. 
3	Konstitutivni narodi	Da li svaki kanton treba imati bar po jednog predstavnika svakog konstitutivnog naroda u Domu naroda FBiH?	Nakon donošenja odluke Ustavnog suda BiH po zahtjevu Bože Ljubića za ocjenu ustavnosti odredbi članova Izbornog zakona BiH, izbrisana je odredba Izbornog zakona BiH koja kaže da se "svakom konstitutivnom narodu daje jedno mjesto u svakom kantonu”, dok u Ustavu FBiH stoji da će u "Domu naroda FBiH biti najmanje jedan Bošnjak, jedan Hrvat i jedan delegat ostalih iz svakog kantona koji imaju najmanje jednog takvog poslanika u svom zakonodavnom tijelu”.
4	Boračka udruženja	Trebaju li boračka udruženja biti finansirana iz bužeta?	Jedan od zahtjeva demobilisanih boraca na protestima 2018. godine je bilo i ukidanje finansiranja boračkih udruženja. 
5	Topli obrok i naknade za prevoz	Da li u oporezivi dio plate treba uključiti naknade za topli obrok i prevoz?	Tokom proteklog mandata Vlada Federacije BiH je inicirala izmjene zakona kojim se uvodi oporezivanje naknada za prevoz i topli obrok. 
6	Zabrana pušenja	Da li treba u potpunosti zabraniti pušenje na javnim mjestima?	Vlada Federacije BiH je 2017. godine inicirala izmjene zakona kojim se zabranjuje pušenje na javnim mjestima. Zakon je u nacrtu usvojen u oba doma Parlamenta FBiH. Vlada Republike Srpske je u 2018. godini inicirala slične izmjene, ali je zakon povučen sa dnevnog reda Narodne skupštine Republike Srpske. 
7	Finansiranje političkih partija	Da li ste za ukidanje ili smanjenje finansiranja političkih partija iz budžeta?	Političke partije se u BiH finansiraju iz budžeta na različitim nivoima vlasti. Na godišnjem nivou BiH izdvoji skoro 20 miliona maraka za finansiranje političkih partija. U isto vrijeme, manji dio svojih prihoda stranke ostvaruju kroz članarine, donacije, iznajmljivanje prostora i slične aktivnosti. Oni koji su za smanjenje ili ukidanje finansiranja govore da građani-ke ne treba da finansiraju partije iz svog džepa, dok oni koji zagovaraju finansiranje govore da bi se ukidanjem finansiranja tzv. male stranke dovele na rub egzistencije. 
8	Osobe sa invaliditetom	Da li treba izjednačiti prava ratnih vojnih invalida i ostalih osoba sa invaliditetom, bez obzira na način nastanka invaliditeta?	BiH je još 2010. godine ratifikovala UN Konvenciju o pravima osoba s invaliditetetom, te usvojila EU standarde po kojima uzrok invalidnosti nije kriterij za određivanje prava na zaštitu i naknade, odnosno da se izjednačavaju prava svih osoba sa invaliditetom, bez obzira na uzrok nastanka invaliditeta. Do danas, taj princip nije uveden u domaće zakonodavstvo.
9	FInansiranje OS BiH	Treba li povećati budžet za finansiranje OS BiH?	Niske plate vojnika OS BiH, potreba za modernizacijom, ali i savremeni sigurnosni izazovi, po ocjenama jednog broja političkih partija u BiH osnovni su razlozi zbog kojih je ovo pitanje u političkom prostoru u BiH tokom ovog mandata postalo veoma aktuelno.
10	Diferencirana stopa PDV-a	Treba li uvesti diferenciranu stopu PDV-a?	Još od samog uvođenja PDV-a u BiH dosta se govorilo o razmatranju uvođenja više stopa PDV-a gdje bi se porez smanjio na osnovne životne namirnice, lijekove i udžbenike, dok bi se povećao na luksuzne proizvode. Pojedine političke partije imale su i predizborna obećanja koja su to predviđala. Ipak tokom proteklog mandata nisu zabilježene aktivnosti na uvođenju više stopa PDV-a, ali se o tome i dalje govori.
11	Vanredni izbori	Da li ste za uvođenje mogućnosti raspisivanja vanrednih izbora u BiH?	Kako ustavni, tako ni zakonski okvir u BiH ne predviđa održavanje vanrednih izbora, što je u demokratski uređenim zemljama jedinstven slučaj. Zvanični prijedlog za izmjene Izbornog zakona u pravcu uvođenja mogućnosti održavanja vanrednih izbora u BiH za sada, još niko nije uputio u proceduru.
12	Legalizacija marihuane	Da li ste za legalizaciju marihuane u medicinske svrhe?	U većini evropskih zemalja marihuanu u medicinske svrhe je legalna, a jedna takva inicijativa tokom proteklog mandata se našla u Parlamentu FBiH, no ona nikada nije konkretno razmatrana i pretočena u zakonsko rješenje. Određene političke partije smatraju kako bi se to trebalo uraditi, dok pojedine nisu sklone brzom legaliziranju marihuane u medicinske svrhe, prije provođenja široke javne debate. 
13	Sprečavanje sukoba interesa	Da li o sukobu interesa treba odlučivati tijelo u kojem ne sjede članovi političkih partija?	Prijedlog Zakona o sprečavanju sukobu interesa u proceduri je od 2017. godine. U prijedlogu ovog zakona propisano je da članovi Komisije za odlučivanje o sukobu interesa ne mogu biti članovi političkih partija. 
14	Akcize na gorivo	Da li treba smanjiti akcize na gorivo?	Pitanje se tiče izmjene Zakona o akcizama u Bosni i Hercegovini, izmjenama Zakona o uplatama na Jedinstveni račun i raspodjeli prihoda te izmjenama Zakona o sistemu indirektnog oporezivanja u Bosni i Hercegovini. Na osnovu ovog zakona došlo je do povećanja akciza na biogoriva i biotečnosti, te povećanje cestarina za 0,15 KM. Usvajanjem izmjena i dopuna ovog Zakona ispunjen je i jedan od glavnih uslova Međunarodnog monetarnog fonda za nastavak realiziranja ugovora s ovom monetarnom organizacijom.
15	Zaduživanje	Da li se BiH treba dalje zaduživati za popunjavanje budžetskih deficita?	Tokom proteklog mandata sve Vlade u BiH su uslijed nedostatka novca u budžetu koristile stand by aranžman MMF-a kako bi "zakrpili" budžetski deficit i osigurale normalno funkcionisanje institucija. Sa druge strane, pojedine opozicione partije su tokom mandata ukazivale na ogromne dugove naše zemlje koje će otplaćivati "buduće generacije".
16	Donori organa	Da li svaki građanin treba biti donor organa, osim u slučaju da potpiše izjavu da ne želi?	U Federaciji BiH su nakon višegodišnje rasprave usvojene izmjene zakona kojima svaki građanin postaje donor organa, ukoliko za vrijeme života nije eksplicitno naveo da ne želi da bude donor organa. 
17	Presuda Sejdić-Finci	Da li smatrate da implementacije presuda "Sejdić i Finci", "Zornić" i "Pilav" trebaju biti prioriteti nadležnih institucija?	Predstavnici političkih partija koje su participirale u bh. vlasti tokom cijelog prošlog mandata nisu se ozbiljno bavili implementacijom pomenutih presuda. Nakon odluke Ustavnog suda BiH po zahtjevu Bože Ljubića za ocjenu ustavnosti odredbi članova Izbornog zakona BiH, smjenjivali su se pozivi na "hitno uklanjanje svih diskriminatorskih odredbi iz Ustava BiH”, sa pokušajima da se ova presuda ugradi u neke od prijedloga za izmjenu Izbornog zakona u BiH.
18	Energetski projekti i zaštita životne sredine	Da li energetski projekti trebaju biti prioritet u odnosu na zaštitu životne sredine?	Veliki energetski projekti poput izgradnje brana i termoelektrana će neminovno uticati na stanje životne sredine. Ovakvi objekti moraju imati Okolinske dozvole i studije uticaja na životnu sredinu.
19	Privatizacija javnih kompanija	Da li treba privatizirati državne kompanije koje posluju s profitom, ako će to značiti smanjenje korupcije i onemogućavanje sticanje lične koristi pojedinca?	Jedan dio kompanija u državnom vlasništvu posluje sa profitom, te se one smatraju uspješnim. Upravne i nadzorne odbore ovih kompanija uglavnom čine ljudi koje imenuju stranke na vlasti. Oni koji zagovaraju ostanak ovih kompanija u državnom vlasništvu to baziraju na tome da ne treba privatizirati društveno dobro, dok oni koji su za privatizaciju uglavnom govore da su te kompanije jedan od većih izvora korupcije.
20	Teritorijalna reorganizacija BiH	Da li svaka teritorijalna reorganizacija BiH mora obuhvatati oba entiteta?	Tokom ovoga mandata, a u okviru rasprave po pitanju izmjena Izbornog zakona BiH, ponovo je aktuelizirano pitanje teritorijalne reorganizacije FBiH. Prijedlozi su išli od onih koji na etničkoj osnovi zagovaraju samo izmjene na teritoriji FBiH, do onih za koje bi bilo kakva teritorijalna reorganizacija u BiH morala obuhvatiti oba entiteta.
21	Dvije škole pod jednim krovom	Da li treba napustiti praksu "dvije škole pod jednim krovom" u svim dijelovima BiH?	Nakon završetka rata u FBiH je uspostavljen sistem "dvije škole pod jednim krovom" koji podrazumijeva da djeca različitih nacionalnosti idu u istu školu, ali su podijeljeni po odjeljenjima i nastavnim planovima. Često je slučaj da djeca u ovakvim školama ulaze na odvojene ulaze u školu.
22	Treći kanal	Da li ste za uvođenje javnog TV kanala na hrvatskom jeziku?	Pitanje uvođenja kanala na hrvatskom jeziku aktuelno je od samog početka djelovanja PBS-a BiH, a tokom proteklog mandata Vijeće ministara BiH je usvojilo Prijedlog zakona prema kojem je moguće osnivanje ovog kanala. Zakon nikada nije usvojen u PSBiH.
23	Izbor članova Predsjedništva	Da li hrvatski član Predsjedništva treba biti biran iz većinski hrvatskih kantona, a bošnjački iz većinski bošnjačkih kantona?	Djelimično usvojeni zahtjev Bože Ljubića za ocjenu ustavnosti odredbi članova Izbornog zakona BiH od strane Ustavnog suda BiH, od dana donošenja, često je u javnosti predmet zloupotrebe i krivog interpretiranja. Tako su pojedine političke partije ovo pitanje pokušale pretvoriti u rješavanje "problema legitimnosti izbora hrvatskog člana Predsjedništva.” Slično se dogodilo i tokom mandata 2010. - 2014. kada je uklanjanje diskriminacije prema predstavnicima nekonstitutivnih naroda u Ustavu BiH, koje je naloženo odlukom Evropskog suda za ljudska prava u predmetu "Sejdić-Finci", preraslo u rješavanje "hrvatskog pitanja" u BiH.
24	Ulazak u NATO	Treba li BiH provesti referendum za ulazak u NATO?	SNSD i vodeći ljudi u ovoj partiji su više puta ponavljali da je potrebno provesti referendum za ulazak u NATO savez. Većina drugih partija je protiv ovoga, neke zbog toga jer smatraju da se ne treba raspravljati o ulasku u NATO savez ili jer smatraju da BiH treba slijediti Srbiju po ovom pitanju.
25	Priznavanje Kosova	Treba li BiH priznati Kosovo?	Priznanje Kosova je tema koja se nekoliko puta u proteklom mandatu našla u žiži javnosti, te su mišljenja oko toga da li se Kosovo treba priznati podijeljena, pogotovo u kontekstu odnosa sa Republikom Srbijom. 
26	Doprinosi na plate	Da li treba smanjiti ukupnu stopu doprinosa na plate?	Smanjenje doprinosa na plate je bila jedna od najaktuelnijih tema u proteklom mandatu, obzirom da je Reformska agenda bila usmjerena na poboljšanje institucionalnih okvira za poslovanje, a prema stavovima poslodavaca visoka stopa doprinosa na plate je jedan od glavnih problema za poslovanje. 
27	Isplata penzija	Penzije treba isplaćivati iz budžeta, a ne iz penzionih fondova?	U proteklom mandatu usvojene su izmjene zakona kojima su penzioni fondovi prešli na budžetsko poslovanje. 
28	Prava penzionera	Da li penzioneri koji su u državnoj službi trebaju moći nastaviti raditi po ugovoru o djelu i nakon odlaska u penziju, za razliku od svih drugih penzionera?	Pitanje u vezi sa zasnivanjem radnog odnosa penzionera je sporno jer novim zakonom o PIO FBiH je data mogućnost da samo penzioneri koji su u državnoj službi mogu da zasnuju radni odnos u vidu ugovora o djelu, autorskih ugovora i konsultantskih ugovora. Dok u RS je to moguće od zakona o PIO RS donesenog iz 2012 godine.
29	Progresivna stopa poreza na dohodak	Treba li uvesti progresivnu stopu poreza na dohodak?	Uvođenje progresivne stope poreza na dohodak je jedna od mjera za koju se smatra da bi dovela do pravednijeg oporezivanja, budući da postoji značajna razlika u primanjima u realnom i javnom sektoru. 
30	Registracija poslovnih subjekata	Potrebno je uvesti jednošalterski sistem za registraciju poslovnih subjekata i dobijanje dokumentacije potrebne za početak poslovanja? 	Jednošalterskim sistemom za registraciju poslovnih subjekata bi se značajno olakšala registracija privrednih društava i olakšalo bi se pokretanje poslovanja, što je jedan od ciljeva Reformske agende.
31	Koncesije	Treba li omogućiti privatnim preduzećima da koncesiono grade i naplaćuju korištenje javne infrastukture?	Postoje stavovi da, ukoliko bi se privatnim poduzećima omogućilo da koncesiono grade određene infrastrukturne projekte od javne važnosti, tempo izgradnje infrastrukturnih projekata bi se pojačao. 
32	EU integracije	Da li EU integracije moraju biti bezuslovni prioritet, čak i u slučaju da to smanjuje uticaj predstavnika konstitutivnih naroda ili pojedinih nivoa vlasti?	EU integracije za većinu građana i građanki, kao i političkih partija, predstavljaju najvažniji cilj. Međutim, iz razloga praktične i kontekstualne prirode EU put BiH će vrlo vjerovatno značiti i smanjenje uticaja predstavnika pojedinih nivoa vlasti ili uticaj etno-politike na društvene tokove.
33	Firme u stečaju	Da li u slučaju firmi u stečaju isplata svih dugovanja radnicima treba imati prioritet?	Nakon presude Ustavnog suda FBiH, izmjenama Zakona o stečaju propisano je da se sva dugovanja radnicima fabrika u stečaju svrstavaju u prvi isplatni red. U Republici Srpskoj to još uvijek nije slučaj. 